"m","p","tau","rho","width_us","width_riqite","cover_us","cover_riqite","quants_check"
500,0.6,1,0.1,-0.46046046046046,-0.344,TRUE,TRUE,0.8
500,0.6,1,0.1,-0.14014014014014,0.173,TRUE,TRUE,0.9
500,0.6,1,0.1,0.18018018018018,0.85,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.98398398398398,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.98298298298298,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.58258258258258,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.82182182182182,-3.237,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.34134134134134,-1.442,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.860860860860861,-0.827,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.42042042042042,-0.337,TRUE,TRUE,0.8
500,0.6,1,0.1,-0.18018018018018,0.151,TRUE,TRUE,0.9
500,0.6,1,0.1,0.1001001001001,0.816,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.5035035035035,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.66266266266266,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.3023023023023,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.74174174174174,-Inf,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.3013013013013,-1.479,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.900900900900901,-0.778,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.42042042042042,-0.269,TRUE,TRUE,0.8
500,0.6,1,0.1,-0.1001001001001,0.214,TRUE,TRUE,0.9
500,0.6,1,0.1,0.22022022022022,0.835,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.54354354354354,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.66266266266266,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.14214214214214,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.66166166166166,-Inf,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.18118118118118,-1.191,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.66066066066066,-0.588,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.26026026026026,-0.098,TRUE,TRUE,0.8
